Team,G,Total_FG,Total_FGA,FG%,Total_3P,Total_3PA,3P%,Total_2P,Total_2PA,2P%,Total_PTS,Year,FG,FGA,3P,3PA,2P,2PA,PTS,3PA/FGA,Rk,Champion
San Antonio Spurs,82,3856,7738,49.8,52,206,25.2,3804,7532,50.5,9788,1980,47.0,94.4,0.6,2.5,46.4,91.9,119.4,2.6,10.0,No
Los Angeles Lakers,82,3898,7368,52.900000000000006,20,100,20.0,3878,7268,53.400000000000006,9438,1980,47.5,89.9,0.2,1.2,47.3,88.6,115.1,1.3,2.0,Yes
Cleveland Cavaliers,82,3811,8041,47.4,36,187,19.3,3775,7854,48.1,9360,1980,46.5,98.1,0.4,2.3,46.0,95.8,114.1,2.3,14.0,No
New York Knicks,82,3802,7672,49.6,42,191,22.0,3760,7481,50.3,9344,1980,46.4,93.6,0.5,2.3,45.9,91.2,114.0,2.5,12.0,No
Boston Celtics,82,3617,7387,49.0,162,422,38.4,3455,6965,49.6,9303,1980,44.1,90.1,2.0,5.1,42.1,84.9,113.5,5.7,1.0,No
Indiana Pacers,82,3639,7689,47.3,88,314,28.000000000000004,3551,7375,48.1,9119,1980,44.4,93.8,1.1,3.8,43.3,89.9,111.2,4.1000000000000005,15.0,No
Phoenix Suns,82,3570,7235,49.3,68,280,24.3,3502,6955,50.4,9114,1980,43.5,88.2,0.8,3.4,42.7,84.8,111.1,3.9,5.0,No
Houston Rockets,82,3599,7496,48.0,104,379,27.4,3495,7117,49.1,9084,1980,43.9,91.4,1.3,4.6,42.6,86.8,110.8,5.0,9.0,No
Milwaukee Bucks,82,3685,7553,48.8,50,155,32.300000000000004,3635,7398,49.1,9025,1980,44.9,92.1,0.6,1.9,44.3,90.2,110.1,2.1,7.0,No
Philadelphia 76ers,82,3523,7156,49.2,27,125,21.6,3496,7031,49.7,8949,1980,43.0,87.3,0.3,1.5,42.6,85.7,109.1,1.7000000000000002,3.0,No
Detroit Pistons,82,3643,7596,48.0,57,219,26.0,3586,7377,48.6,8933,1980,44.4,92.6,0.7,2.7,43.7,90.0,108.9,2.9000000000000004,22.0,No
Seattle SuperSonics,82,3554,7565,47.0,59,189,31.2,3495,7376,47.4,8897,1980,43.3,92.3,0.7,2.3,42.6,90.0,108.5,2.5,4.0,No
New Jersey Nets,82,3456,7504,46.1,85,298,28.499999999999996,3371,7206,46.8,8879,1980,42.1,91.5,1.0,3.6,41.1,87.9,108.3,3.9,17.0,No
Denver Nuggets,82,3462,7470,46.300000000000004,83,255,32.5,3379,7215,46.8,8878,1980,42.2,91.1,1.0,3.1,41.2,88.0,108.3,3.4000000000000004,19.0,No
Kansas City Kings,82,3582,7489,47.8,25,114,21.9,3557,7375,48.2,8860,1980,43.7,91.3,0.3,1.4,43.4,89.9,108.0,1.5,8.0,No
San Diego Clippers,82,3524,7494,47.0,177,543,32.6,3347,6951,48.2,8820,1980,43.0,91.4,2.2,6.6,40.8,84.8,107.6,7.199999999999999,16.0,No
Chicago Bulls,82,3362,6943,48.4,70,275,25.5,3292,6668,49.4,8813,1980,41.0,84.7,0.9,3.4,40.1,81.3,107.5,4.0,18.0,No
Washington Bullets,82,3574,7796,45.800000000000004,73,238,30.7,3501,7558,46.3,8773,1980,43.6,95.1,0.9,2.9,42.7,92.2,107.0,3.0,11.0,No
Atlanta Hawks,82,3261,7027,46.400000000000006,13,75,17.299999999999997,3248,6952,46.7,8573,1980,39.8,85.7,0.2,0.9,39.6,84.8,104.5,1.0999999999999999,6.0,No
Golden State Warriors,82,3527,7318,48.199999999999996,27,121,22.3,3500,7197,48.6,8493,1980,43.0,89.2,0.3,1.5,42.7,87.8,103.6,1.7000000000000002,20.0,No
Portland Trail Blazers,82,3408,7167,47.599999999999994,26,132,19.7,3382,7035,48.1,8402,1980,41.6,87.4,0.3,1.6,41.2,85.8,102.5,1.7999999999999998,13.0,No
Utah Jazz,82,3382,6817,49.6,59,185,31.9,3323,6632,50.1,8394,1980,41.2,83.1,0.7,2.3,40.5,80.9,102.4,2.8,21.0,No
League Average,82,3579,7433,48.1,64,227,28.000000000000004,3515,7205,48.8,8965,1980,43.6,90.6,0.8,2.8,42.9,87.9,109.3,3.1,,No
Denver Nuggets,82,3784,7960,47.5,30,145,20.7,3754,7815,48.0,9986,1981,46.1,97.1,0.4,1.8,45.8,95.3,121.8,1.9,15.0,No
Milwaukee Bucks,82,3722,7472,49.8,30,131,22.9,3692,7341,50.3,9276,1981,45.4,91.1,0.4,1.6,45.0,89.5,113.1,1.7999999999999998,3.0,No
San Antonio Spurs,82,3571,7276,49.1,15,85,17.599999999999998,3556,7191,49.5,9209,1981,43.5,88.7,0.2,1.0,43.4,87.7,112.3,1.0999999999999999,6.0,No
