Year,Champion
1980,Los Angeles Lakers
1981,Boston Celtics
1982,Los Angeles Lakers
1983,Philadelphia 76ers
1984,Boston Celtics
1985,Los Angeles Lakers
1986,Boston Celtics
1987,Los Angeles Lakers
1988,Los Angeles Lakers
1989,Detroit Pistons
1990,Detroit Pistons
1991,Chicago Bulls
1992,Chicago Bulls
1993,Chicago Bulls
1994,Houston Rockets
1995,Houston Rockets
1996,Chicago Bulls
1997,Chicago Bulls
1998,Chicago Bulls
1999,San Antonio Spurs
2000,Los Angeles Lakers
2001,Los Angeles Lakers
2002,Los Angeles Lakers
2003,San Antonio Spurs
2004,Detroit Pistons
2005,San Antonio Spurs
2006,Miami Heat
2007,San Antonio Spurs
2008,Boston Celtics
2009,Los Angeles Lakers
2010,Los Angeles Lakers
2011,Dallas Mavericks
2012,Miami Heat
2013,Miami Heat
2014,San Antonio Spurs
2015,Golden State Warriors
2016,Cleveland Cavaliers
2017,Golden State Warriors
2018,Golden State Warriors
2019,Toronto Raptors
2020,Los Angeles Lakers
2021,Milwaukee Bucks
2022,Golden State Warriors
2023,Denver Nuggets
2024,Boston Celtics
